"","id","name"
"1",124676,"NarFFL Premier - Bacon North"
"2",124677,"NarFFL Premier - Bacon South"
"3",124678,"NarFFL Premier - Bacon East"
"4",124679,"NarFFL Premier - Bacon West"
"5",124680,"NarFFL Premier - Narwhal North"
"6",124681,"NarFFL Premier - Narwhal South"
"7",124682,"NarFFL Premier - Narwhal East"
"8",124683,"NarFFL Premier - Narwhal West"
"9",124684,"NarFFL Premier - Envy North"
"10",124685,"NarFFL Premier - Envy South"
"11",124686,"NarFFL Premier - Envy East"
"12",124687,"NarFFL Premier - Envy West"
