"","player_id","player_name","pos","team","games","score_total","score_avg","score_sd"
"1",12894,"Patrick Mahomes","QB","KC",18,433.38,24.08,6.48
"2",13761,"Josh Allen","QB","BUF",18,423,23.5,7.77
"3",15581,"Jalen Hurts","QB","PHI",16,388.5,24.28,8.21
"4",13325,"Austin Ekeler","RB","LAC",18,387.7,21.54,8.62
"5",15540,"Justin Jefferson","WR","MIN",18,378.46,21.03,11.77
"6",12892,"Christian McCaffrey","RB","SF",18,373.26,20.74,8.09
"7",15532,"Joe Burrow","QB","CIN",18,368.58,20.48,7.9
"8",12197,"Tyreek Hill","WR","MIA",18,355.5,19.75,10.2
"9",10295,"Davante Adams","WR","LV",18,348.8,19.38,11.45
"10",11329,"Stefon Diggs","WR","BUF",18,344.6,19.14,9.89
"11",14673,"Josh Jacobs","RB","LV",18,337.3,18.74,11.77
"12",9360,"Travis Kelce","TE","KC",18,328.1,18.23,7.76
"13",15523,"CeeDee Lamb","WR","DAL",18,319.8,17.77,8.15
"14",9372,"Geno Smith","QB","SEA",18,318.5,17.69,5.48
"15",12042,"Derrick Henry","RB","TEN",17,316.56,18.62,8.08
"16",14694,"A.J. Brown","WR","PHI",18,315.1,17.51,8.82
"17",16242,"Trevor Lawrence","QB","JAC",18,307.8,17.1,7.92
"18",13802,"Nick Chubb","RB","CLE",18,304.6,16.92,6.98
"19",8625,"Kirk Cousins","QB","MIN",18,304.58,16.92,7.06
"20",15516,"Justin Herbert","QB","LAC",18,301.08,16.73,5.82
"21",16262,"Justin Fields","QB","CHI",15,295.98,19.73,10.25
"22",12102,"Jared Goff","QB","DET",18,295.78,16.43,7.95
"23",14668,"Daniel Jones","QB","NYG",16,289,18.06,6.94
"24",13778,"Saquon Barkley","RB","NYG",16,284,17.75,7.28
"25",309,"Tom Brady","QB","FA",18,280.02,15.56,7.01
"26",16373,"Amon-Ra St. Brown","WR","DET",17,278.5,16.38,9.57
"27",16236,"Jaylen Waddle","WR","MIA",18,270.5,15.03,9.59
"28",16250,"Ja'Marr Chase","WR","CIN",14,269,19.21,9.18
"29",16253,"DeVonta Smith","WR","PHI",18,268.3,14.91,8.04
"30",16339,"Rhamondre Stevenson","RB","NE",18,265.3,14.74,7.37
"31",12975,"Joe Mixon","RB","CIN",NA,NA,NA,NA
"32",14668,"Daniel Jones","QB","NYG",NA,NA,NA,NA
"33",13778,"Saquon Barkley","RB","NYG",NA,NA,NA,NA
"34",16339,"Rhamondre Stevenson","RB","NE",NA,NA,NA,NA
"35",11329,"Stefon Diggs","WR","BUF",NA,NA,NA,NA
"36",13802,"Nick Chubb","RB","CLE",NA,NA,NA,NA
"37",16824,"Chris Olave","WR","NO",NA,NA,NA,NA
"38",14673,"Josh Jacobs","RB","LV",NA,NA,NA,NA
"39",13111,"Aaron Jones","RB","GB",NA,NA,NA,NA
"40",17586,"Anthony Richardson","QB","IND",NA,NA,NA,NA
"41",12042,"Derrick Henry","RB","TEN",NA,NA,NA,NA
"42",16236,"Jaylen Waddle","WR","MIA",NA,NA,NA,NA
"43",12926,"Chris Godwin","WR","TB",NA,NA,NA,NA
"44",9380,"Keenan Allen","WR","LAC",NA,NA,NA,NA
"45",14694,"A.J. Brown","WR","PHI",NA,NA,NA,NA
"46",17603,"Bijan Robinson","RB","ATL",NA,NA,NA,NA
"47",12951,"James Conner","RB","ARI",NA,NA,NA,NA
"48",13776,"Calvin Ridley","WR","JAC",NA,NA,NA,NA
"49",16834,"Breece Hall","RB","NYJ",NA,NA,NA,NA
"50",16890,"Kenneth Walker","RB","SEA",NA,NA,NA,NA
"51",16798,"Garrett Wilson","WR","NYJ",NA,NA,NA,NA
"52",16987,"Sam Howell","QB","WAS",NA,NA,NA,NA
"53",16241,"Travis Etienne","RB","JAC",NA,NA,NA,NA
"54",15544,"Jerry Jeudy","WR","DEN",NA,NA,NA,NA
"55",16282,"Javonte Williams","RB","DEN",NA,NA,NA,NA
"56",15585,"Tee Higgins","WR","CIN",NA,NA,NA,NA
"57",13806,"Christian Kirk","WR","JAC",NA,NA,NA,NA
"58",11242,"Tyler Lockett","WR","SEA",NA,NA,NA,NA
"59",11177,"Amari Cooper","WR","CLE",NA,NA,NA,NA
"60",16246,"Najee Harris","RB","PIT",NA,NA,NA,NA
"61",13829,"Mark Andrews","TE","BAL",NA,NA,NA,NA
"62",16253,"DeVonta Smith","WR","PHI",NA,NA,NA,NA
"63",16896,"Christian Watson","WR","GB",NA,NA,NA,NA
"64",14700,"Alexander Mattison","RB","MIN",NA,NA,NA,NA
"65",10252,"Mike Evans","WR","TB",NA,NA,NA,NA
"66",16811,"Kenny Pickett","QB","PIT",NA,NA,NA,NA
"67",15522,"Jordan Love","QB","GB",NA,NA,NA,NA
"68",13758,"Baker Mayfield","QB","TB",NA,NA,NA,NA
"69",14702,"Deebo Samuel","WR","SF",NA,NA,NA,NA
