"","week","franchise_id","franchise_name","franchise_score","result","opponent_id","opponent_name","opponent_score","game_id","isFinalScore","isDivisional","isPlayoffs","isThirdPlaceGame","isChampionshipGame"
"1",1,878935,"Cosmic Gumbo",137.66,"WIN",1082496,"Keyserbjj Jerry's Side Pieces",112.12,"51255059",TRUE,TRUE,NA,NA,NA
"2",1,879409,"Westexasman's Pack Attack",92.82,"LOSE",1252634,"Jakeschb's Anorectalvaginal Fistulas",142.06,"51255057",TRUE,TRUE,NA,NA,NA
"3",1,878949,"Squirmin's Lions Fan Emotional Support Group",115.6,"WIN",1315037,"yngvius11’s Commanders is a Bad Name",105.32,"51255061",TRUE,TRUE,NA,NA,NA
"4",1,1264164,"Enhjorninger",142.26,"LOSE",1315446,"Beastwood's Happy, Little Cloud Brigade",142.8,"51255062",TRUE,TRUE,NA,NA,NA
"5",1,879996,"JoeFarish's London Redcoats",90.58,"LOSE",1330456,"dontcthis dire repercussions",118.52,"51255058",TRUE,TRUE,NA,NA,NA
"6",1,988629,"Koltan's Dumpster Fire",130.08,"WIN",1420053,"Consistently Mediocre",104.2,"51255060",TRUE,TRUE,NA,NA,NA
"7",1,1082496,"Keyserbjj Jerry's Side Pieces",112.12,"LOSE",878935,"Cosmic Gumbo",137.66,"51255059",TRUE,TRUE,NA,NA,NA
"8",1,1252634,"Jakeschb's Anorectalvaginal Fistulas",142.06,"WIN",879409,"Westexasman's Pack Attack",92.82,"51255057",TRUE,TRUE,NA,NA,NA
"9",1,1315037,"yngvius11’s Commanders is a Bad Name",105.32,"LOSE",878949,"Squirmin's Lions Fan Emotional Support Group",115.6,"51255061",TRUE,TRUE,NA,NA,NA
"10",1,1315446,"Beastwood's Happy, Little Cloud Brigade",142.8,"WIN",1264164,"Enhjorninger",142.26,"51255062",TRUE,TRUE,NA,NA,NA
"11",1,1330456,"dontcthis dire repercussions",118.52,"WIN",879996,"JoeFarish's London Redcoats",90.58,"51255058",TRUE,TRUE,NA,NA,NA
"12",1,1420053,"Consistently Mediocre",104.2,"LOSE",988629,"Koltan's Dumpster Fire",130.08,"51255060",TRUE,TRUE,NA,NA,NA
"13",2,1252634,"Jakeschb's Anorectalvaginal Fistulas",117.88,"WIN",879996,"JoeFarish's London Redcoats",85.4,"51255064",TRUE,TRUE,NA,NA,NA
"14",2,1082496,"Keyserbjj Jerry's Side Pieces",112.18,"LOSE",988629,"Koltan's Dumpster Fire",176.78,"51255066",TRUE,TRUE,NA,NA,NA
"15",2,1315037,"yngvius11’s Commanders is a Bad Name",156.62,"WIN",1264164,"Enhjorninger",121.86,"51255068",TRUE,TRUE,NA,NA,NA
"16",2,878949,"Squirmin's Lions Fan Emotional Support Group",101.58,"WIN",1315446,"Beastwood's Happy, Little Cloud Brigade",89.8,"51255067",TRUE,TRUE,NA,NA,NA
"17",2,879409,"Westexasman's Pack Attack",134.56,"LOSE",1330456,"dontcthis dire repercussions",150.26,"51255063",TRUE,TRUE,NA,NA,NA
"18",2,878935,"Cosmic Gumbo",89,"LOSE",1420053,"Consistently Mediocre",98.56,"51255065",TRUE,TRUE,NA,NA,NA
