"","division_id","division_name","franchise_id","franchise_name","h2h_wins","h2h_losses","h2h_ties","h2h_winpct","points_for","points_against","allplay_wins","allplay_losses","allplay_winpct","potential_points"
"1",965254,"Division 1",1330456,"dontcthis dire repercussions",12,2,0,0.857,1867.04,1486.12,122,46,0.726,2284.12001
"2",965255,"Division 2",988629,"Koltan's Dumpster Fire",10,4,0,0.714,1782.34,1469.88,103,65,0.613,2210.54
"3",965256,"Division 3",1315037,"yngvius11’s Commanders is a Bad Name",9,5,0,0.643,1724.66,1605.14,104,71,0.594,2408.66
"4",965256,"Division 3",1264164,"Enhjorninger",9,5,0,0.643,1711.96,1598.86,103,58,0.64,1978.620004
"5",965255,"Division 2",1420053,"Consistently Mediocre",8,6,0,0.571,1606.1,1601.8,80,95,0.457,2221.360015
"6",965256,"Division 3",878949,"Squirmin's Lions Fan Emotional Support Group",8,6,0,0.571,1563.36,1717.38,68,93,0.422,1978.86
"7",965256,"Division 3",1315446,"Beastwood's Happy, Little Cloud Brigade",7,7,0,0.5,1787.94,1706.44,114,54,0.679,2200.02
"8",965255,"Division 2",878935,"Cosmic Gumbo",6,8,0,0.429,1633.12,1653.18,87,81,0.518,2110.419991
"9",965254,"Division 1",879409,"Westexasman's Pack Attack",5,9,0,0.357,1519.82,1655.38,69,106,0.394,2062.399986
"10",965254,"Division 1",879996,"JoeFarish's London Redcoats",4,10,0,0.286,1435.52,1610.28,60,115,0.343,2098.6
"11",965254,"Division 1",1252634,"Jakeschb's Anorectalvaginal Fistulas",3,11,0,0.214,1305.64,1683.84,31,130,0.193,1702.6
"12",965255,"Division 2",1082496,"Keyserbjj Jerry's Side Pieces",3,11,0,0.214,1562.94,1712.14,67,94,0.416,2050.01999
"13",965259,"Division 3",1330388,"mellcrisp's DC Marauders",11,3,0,0.786,1735.56,1537.18,101,67,0.601,2223.42
"14",965257,"Division 1",1097968,"kyehawk586",10,4,0,0.714,1707.64,1563.06,98,63,0.609,2090.16001
"15",965258,"Division 2",1171927,"jabroni33's big break",10,4,0,0.714,1723.94,1476.44,82,86,0.488,2092.020005
"16",965257,"Division 1",1315193,"maxwirt's Duchesses",7,7,0,0.5,1840.36,1749.54,114,61,0.651,2524.799995
"17",965258,"Division 2",885094,"stcody and the Four Seasons",7,7,0,0.5,1655.18,1571.28,78,83,0.484,1914.94
"18",965258,"Division 2",1333448,"Truth and Reconciliation",6,8,0,0.429,1792.72,1930.08,115,60,0.657,2456.14
"19",965258,"Division 2",1175091,"Gloomydiscussions",6,8,0,0.429,1608.46,1559.12,73,95,0.435,2071.580004
"20",965259,"Division 3",1181168,"reallydumb4real's dumdumbs",6,8,0,0.429,1631.66,1767.92,74,94,0.44,2097.499999
"21",965259,"Division 3",1428878,"Raven367’s Monsters of the Midway",6,8,0,0.429,1593.1,1655.16,65,96,0.404,1913.379986
